,Sum,Max,Min
191,0.1576,1.6702,1.6705
192,0.1687,1.6747,1.6829
193,0.1596,1.6927,1.6711
194,0.1827,1.6877,1.6939
195,0.1581,1.6943,1.7105
196,0.1649,1.7106,1.7194
197,0.1722,1.7159,1.7264
198,0.1693,1.7326,1.7267
199,0.1729,1.7302,1.7425
200,0.1858,1.7384,1.7563
201,0.1687,1.7653,1.7452
202,0.1762,1.7688,1.7586
203,0.203,1.7677,1.7719
204,0.2005,1.7838,1.7845
205,0.1679,1.7859,1.7881
206,0.1756,1.8068,1.8023
207,0.1749,1.7985,1.8068
208,0.1759,1.8178,1.8202
209,0.1649,1.8384,1.829
210,0.1723,1.8394,1.8453
211,0.1695,1.8462,1.8428
212,0.1976,1.8617,1.8521
213,0.1654,1.8566,1.8618
214,0.1985,1.8644,1.8891
215,0.1756,1.8751,1.8856
216,0.1958,1.8887,1.8855
217,0.1883,1.8938,1.8969
218,0.1905,1.9081,1.9096
219,0.1893,1.9417,2.1944
220,0.1975,1.9756,2.0849
221,0.1861,2.1641,2.1757
222,0.2365,2.0648,1.9587
223,0.2007,1.9911,2.1137
224,0.1904,2.2616,2.3567
225,0.237,2.2278,2.3821
226,0.2721,3.3707,2.9713
227,0.4412,4.4421,4.8824
228,0.4871,4.5364,2.9741
229,0.3577,2.8068,2.7845
230,0.2752,2.0711,3.479
231,0.3203,2.9762,2.2199
232,0.2011,2.0963,2.7072
233,0.2702,2.6733,3.8114
234,0.291,2.8996,2.9672
235,0.1964,2.1179,2.5213
236,0.1941,2.7862,2.479
237,0.2097,2.1051,2.5969
238,0.2644,3.0073,2.1469
239,0.1913,2.0969,2.103
240,0.2049,2.1031,2.1009
241,0.177,2.1359,2.1148
242,0.1976,2.1219,2.1204
243,0.1963,2.1485,2.3526
244,0.2065,2.2143,2.1075
245,0.1909,2.129,2.1172
246,0.1891,2.1286,2.1307
247,0.1901,2.1401,2.131
248,0.2427,2.1378,2.142
249,0.1916,2.154,2.1571
250,0.2125,2.2361,2.1569
251,0.2032,2.1718,2.1611
252,0.1996,2.4132,2.1675
253,0.1955,2.1935,2.1735
254,0.2047,2.4376,2.222
255,0.2656,2.2239,2.1957
256,0.2207,2.2227,2.2002
257,0.1909,2.22,2.2224
258,0.2106,3.5519,3.7618
259,0.3067,2.7145,2.3245
260,0.2281,2.2672,2.2556
261,0.2413,2.2563,2.2723
262,0.2204,2.2968,2.2741
263,0.2255,2.2898,2.3215
264,0.2483,2.3104,2.2909
265,0.2121,2.3189,2.3155
266,0.2092,2.3375,2.3228
267,0.213,2.3529,2.3244
268,0.248,2.3421,2.3612
269,0.2731,2.3531,2.3549
270,0.2,2.377,2.3586
271,0.2242,2.3583,2.3759
272,0.2045,2.3785,2.3762
273,0.2182,2.3837,2.3778
274,0.2628,2.3888,2.4447
275,0.229,2.4097,2.4231
276,0.2216,2.4747,2.6443
277,0.2087,2.4401,2.4289
278,0.2217,2.4429,2.4416
279,0.2274,2.4385,2.4313
280,0.2331,2.4601,2.4625
281,0.2542,2.453,2.454
282,0.2339,2.4673,2.474
283,0.2429,2.488,2.4678
284,0.2408,2.4766,2.483
285,0.2373,2.6281,2.4605
286,0.231,2.4734,2.4715
287,0.2216,2.7164,2.8804
288,0.2269,2.4865,2.4795
289,0.2373,2.4893,2.5564
290,0.2389,2.5079,2.5016
291,0.2209,2.5164,2.504
292,0.2218,2.5208,2.5115
293,0.2479,2.6141,2.5185
294,0.2275,2.5525,2.5296
295,0.2177,2.5611,2.5326
296,0.2401,2.5626,2.5444
297,0.2372,2.5815,2.552
298,0.2297,2.5772,2.5735
299,0.2207,2.593,2.5735
300,0.249,2.5959,2.5854
301,0.2755,2.591,2.5932
302,0.2378,2.6959,2.6142
303,0.2441,2.6224,2.6068
304,0.2696,2.6338,2.6069
305,0.2477,2.85,2.6219
306,0.2476,2.646,2.8613
307,0.232,2.6524,2.6354
308,0.2467,2.6811,2.6471
309,0.2316,2.6841,2.6641
310,0.2537,2.6675,2.6794
311,0.2717,2.677,2.6837
312,0.256,2.6955,2.9172
313,0.2681,2.7736,2.6837
314,0.2457,2.7141,2.692
315,0.2624,3.1391,2.7938
316,0.2851,2.851,2.8892
317,0.2453,2.8006,2.7871
318,0.2565,2.8028,2.7988
319,0.2443,2.8128,2.8096
320,0.3192,2.8218,2.8081
321,0.2696,2.8131,2.8205
322,0.2419,2.8242,2.8259
323,0.2495,2.8252,2.8468
324,0.2471,2.8405,2.8349
325,0.2972,2.8413,2.8419
326,0.2438,2.8612,2.8501
327,0.2411,2.8677,2.8808
328,0.2387,2.8663,2.8715
329,0.26,2.8943,2.9074
330,0.2721,2.9032,2.8861
331,0.2516,2.8931,2.9057
332,0.2734,2.9142,2.9166
333,0.2545,2.9453,3.0082
334,0.2412,2.9449,2.9233
335,0.3067,2.9446,2.9291
336,0.2532,2.9424,2.935
337,0.3019,2.9493,2.9392
338,0.2555,2.9574,2.95
339,0.2714,2.9797,2.9658
340,0.2768,3.235,2.9897
341,0.2593,2.986,2.9762
342,0.2508,2.9927,2.9796
343,0.2594,3.0112,2.995
344,0.2586,3.0263,3.0106
345,0.2956,3.0078,2.9948
346,0.2921,3.0161,3.0235
347,0.2652,3.022,3.0245
348,0.2691,3.0354,3.0438
349,0.2384,3.0752,3.0531
350,0.299,3.0604,3.0466
351,0.2683,3.0757,3.0626
352,0.2854,3.0827,3.0967
353,0.2597,3.0764,3.0879
354,0.2474,3.0877,3.1082
355,0.288,3.0941,3.0973
356,0.3094,3.1164,3.0136
357,0.2593,3.0682,3.0638
358,0.2623,3.089,3.0783
359,0.2754,3.0861,3.079
360,0.2884,3.1005,3.1033
361,0.2675,3.1175,3.0993
362,0.2812,3.1105,3.1241
363,0.3137,4.2191,3.5874
364,0.2767,3.1421,3.1416
365,0.2778,3.1354,3.141
366,0.2919,3.3916,3.137
367,0.2799,3.1731,3.157
368,0.2848,3.1604,3.1581
369,0.2925,3.1876,3.1696
370,0.2739,3.2229,3.1855
371,0.2783,3.1904,3.183
372,0.313,3.2002,3.1991
373,0.2972,3.2319,3.2339
374,0.2882,3.2276,3.1982
375,0.2881,3.2408,3.2304
376,0.337,3.2619,3.2548
377,0.2931,3.255,3.226
378,0.3132,3.2691,3.2493
379,0.2899,3.2618,3.2687
380,0.2888,3.2794,3.2628
381,0.3192,3.2908,3.2865
382,0.3017,3.2944,3.2857
383,0.329,3.3055,3.2977
384,0.3219,3.3131,3.3125
385,0.3434,3.3331,3.6492
386,0.3407,3.3388,3.3899
387,0.2895,3.4343,3.4169
388,0.3289,3.45,3.4344
389,0.303,3.419,3.2389
390,0.2914,3.3039,3.3443
391,0.3443,3.3774,3.3587
392,0.2966,3.3801,3.3549
393,0.3032,3.3833,3.3964
394,0.3061,3.3895,3.3881
395,0.285,3.4259,3.3958
396,0.3363,3.4182,3.4137
397,0.3301,3.4247,3.4097
398,0.3418,3.4281,3.4263
399,0.3087,3.4461,3.4191
400,0.3016,3.4632,3.4585
401,0.3203,3.4454,3.462
402,0.3101,3.475,3.4547
403,0.3311,3.4631,3.4821
404,0.3063,3.4986,3.4772
405,0.3292,3.5005,3.4722
406,0.3071,3.4981,3.7415
407,0.3141,3.5148,3.4945
408,0.3004,3.7552,3.5189
409,0.3647,3.5153,3.5137
410,0.2959,3.5654,3.5254
411,0.3247,3.5495,3.5779
412,0.3291,3.5593,3.5441
413,0.3556,4.0414,3.5466
414,0.2886,3.5791,3.5515
415,0.3107,3.6075,3.6482
416,0.3146,3.5942,3.5777
417,0.339,3.6275,3.5928
418,0.3311,3.619,3.5925
419,0.3313,3.6751,3.6598
420,0.3266,3.6143,3.6203
421,0.3429,3.6234,3.6251
422,0.3101,3.6499,3.6335
423,0.3421,3.6317,3.6305
424,0.3229,3.6696,3.6777
425,0.3097,3.6401,3.66
426,0.3507,3.6818,4.0362
427,0.3189,3.7717,3.7596
428,0.3014,3.7747,3.7625
429,0.3498,3.7862,3.7752
430,0.3196,4.2741,3.9738
431,0.3196,3.8074,3.8047
432,0.331,3.7963,3.7822
433,0.3479,3.8015,3.8183
434,0.3613,3.8,3.8129
435,0.3197,3.8271,3.8318
436,0.3629,3.8399,3.8142
437,0.3591,3.827,3.8153
438,0.372,3.8605,3.8362
439,0.3454,3.8296,3.8397
440,0.3104,3.8441,3.8685
441,0.3472,3.8658,3.868
442,0.3594,3.8647,3.8854
443,0.3175,3.8757,3.9081
444,0.335,3.8717,4.3592
445,0.3472,3.9133,4.113
446,0.3751,3.9926,4.1285
447,0.3541,3.9317,3.9186
448,0.3133,3.9499,3.9178
449,0.3879,3.9259,3.9311
450,0.3189,3.9663,3.9445
451,0.3429,3.9452,3.9531
452,0.3737,3.9797,3.9755
453,0.3417,3.9681,3.9639
454,0.3644,3.9556,3.995
455,0.3137,3.9824,4.0069
456,0.353,3.9892,3.9998
457,0.3438,3.9796,4.1406
458,0.3461,4.0048,4.0091
459,0.3698,4.0145,4.0104
460,0.3277,4.0292,4.0312
461,0.3566,4.0381,4.0299
462,0.3595,4.0276,4.1185
463,0.4278,4.4514,4.4603
464,0.3325,4.0821,4.2883
465,0.3737,4.3419,4.1989
466,0.3596,4.0609,4.0201
467,0.3451,4.0424,4.3744
468,0.346,4.0868,4.5227
469,0.3866,4.3685,4.1799
470,0.3469,4.1051,4.222
471,0.3557,4.0784,4.3347
472,0.3576,4.1475,4.1826
473,0.3514,4.1052,4.0566
474,0.3537,4.142,4.1308
475,0.4178,4.3852,4.1993
476,0.3564,4.8127,4.4301
477,0.4258,4.3579,4.6132
478,0.4175,4.4861,4.3569
479,0.3627,4.3859,4.9412
480,0.3706,4.5606,4.5048
481,0.4289,4.304,4.4519
482,0.51,4.2754,4.2666
483,0.3452,4.2656,4.254
484,0.3788,4.2726,4.2952
485,0.3969,4.262,4.435
486,0.3809,4.3182,4.2806
487,0.3598,4.283,4.3103
488,0.3724,4.3089,4.3623
489,0.3603,4.308,4.3019
490,0.3544,4.1425,4.2204
491,0.3581,4.2606,4.2504
492,0.3434,4.2639,4.2548
493,0.3842,4.2575,4.2487
494,0.3705,4.3103,4.268
495,0.3886,4.4613,4.297
496,0.3428,4.3081,4.5128
497,0.3744,4.6192,4.2751
